ts,time,pkg,core16,core20,nvme,pl1,gpu_temp,gpu_power,gpu_util,train_tag
1788459619,02:20:19,63.0,55.0,58.0,74,4095,58,91.60,30,ep? s600
1788459624,02:20:24,66.0,58.0,59.0,74,4095,58,91.01,30,ep? s650
1788459629,02:20:29,66.0,55.0,56.0,74,4095,58,91.63,33,ep? s650
1788459634,02:20:34,85.0,62.0,62.0,74,4095,58,91.86,30,ep? s650
1788459639,02:20:39,71.0,55.0,58.0,74,4095,58,92.06,30,ep? s650
1788459644,02:20:44,66.0,56.0,59.0,74,4095,58,90.62,30,ep? s650
1788459649,02:20:49,64.0,55.0,58.0,74,4095,58,91.74,30,ep? s650
1788459654,02:20:54,64.0,56.0,59.0,74,4095,58,90.77,30,ep? s650
1788459659,02:20:59,64.0,55.0,58.0,74,4095,58,91.34,31,ep? s650
1788459664,02:21:04,64.0,55.0,62.0,74,4095,58,91.33,31,ep? s650
1788459670,02:21:10,64.0,56.0,57.0,74,4095,58,91.35,30,ep? s650
1788459675,02:21:15,66.0,58.0,63.0,74,4095,58,91.80,31,ep? s700
1788459680,02:21:20,66.0,55.0,61.0,74,4095,58,91.98,31,ep? s700
1788459685,02:21:25,64.0,56.0,59.0,74,4095,58,91.65,30,ep? s700
1788459690,02:21:30,66.0,58.0,61.0,74,4095,58,92.05,31,ep? s700
1788459695,02:21:35,66.0,58.0,57.0,74,4095,58,91.98,31,ep? s700
1788459700,02:21:40,68.0,56.0,59.0,74,4095,58,91.57,30,ep? s700
1788459705,02:21:45,64.0,54.0,56.0,74,4095,58,91.58,30,ep? s700
1788459710,02:21:50,64.0,54.0,57.0,74,4095,58,91.84,30,ep? s700
1788459715,02:21:55,67.0,54.0,59.0,74,4095,58,91.33,32,ep? s700
1788459720,02:22:00,67.0,54.0,57.0,74,4095,58,91.89,29,ep? s700
1788459725,02:22:05,66.0,56.0,65.0,74,4095,58,91.24,33,ep? s750
1788459730,02:22:10,68.0,55.0,59.0,74,4095,58,90.36,30,ep? s750
1788459735,02:22:15,64.0,57.0,59.0,74,4095,58,91.54,30,ep? s750
1788459740,02:22:20,67.0,54.0,58.0,74,4095,58,90.64,30,ep? s750
1788459745,02:22:25,70.0,58.0,58.0,74,4095,58,91.67,30,ep? s750
1788459751,02:22:31,82.0,82.0,58.0,74,4095,58,91.52,30,ep? s750
1788459756,02:22:36,63.0,57.0,63.0,74,4095,58,91.41,31,ep? s750
1788459761,02:22:41,64.0,55.0,58.0,74,4095,58,91.11,30,ep? s750
1788459766,02:22:46,65.0,58.0,57.0,74,4095,58,91.10,31,ep? s750
1788459771,02:22:51,63.0,57.0,59.0,74,4095,58,90.48,31,ep? s750
1788459777,02:22:57,69.0,69.0,58.0,74,4095,58,91.54,30,ep? s800
1788459782,02:23:02,63.0,56.0,62.0,74,4095,58,90.96,32,ep? s800
1788459787,02:23:07,63.0,55.0,58.0,74,4095,58,91.86,31,ep? s800
1788459792,02:23:12,62.0,53.0,54.0,74,4095,58,91.62,30,ep? s800
1788459797,02:23:17,63.0,54.0,55.0,74,4095,58,91.64,30,ep? s800
1788459802,02:23:22,63.0,57.0,56.0,74,4095,58,91.71,35,ep? s800
1788459807,02:23:27,65.0,55.0,56.0,74,4095,58,91.42,29,ep? s800
1788459812,02:23:32,65.0,59.0,61.0,74,4095,58,91.97,31,ep? s800
1788459817,02:23:37,66.0,58.0,61.0,74,4095,58,91.88,31,ep? s800
1788459822,02:23:42,67.0,67.0,56.0,74,4095,58,91.29,30,ep? s800
1788459827,02:23:47,66.0,55.0,62.0,74,4095,58,91.56,33,ep? s850
1788459832,02:23:52,62.0,54.0,55.0,74,4095,58,91.42,34,ep? s850
1788459837,02:23:57,62.0,53.0,56.0,74,4095,58,91.46,32,ep? s850
1788459842,02:24:02,63.0,54.0,58.0,74,4095,58,91.54,30,ep? s850
1788459847,02:24:07,63.0,54.0,56.0,74,4095,58,91.71,33,ep? s850
1788459852,02:24:12,62.0,58.0,56.0,74,4095,58,91.53,31,ep? s850
1788459857,02:24:17,63.0,55.0,58.0,74,4095,58,90.28,30,ep? s850
1788459863,02:24:23,63.0,55.0,57.0,74,4095,58,91.59,31,ep? s850
1788459868,02:24:28,65.0,58.0,61.0,74,4095,58,90.11,31,ep? s850
1788459873,02:24:33,63.0,56.0,57.0,74,4095,58,91.44,30,ep? s850
1788459878,02:24:38,63.0,54.0,55.0,74,4095,58,91.87,31,ep? s900
1788459883,02:24:43,65.0,55.0,57.0,74,4095,58,91.34,32,ep? s900
1788459888,02:24:48,63.0,55.0,59.0,75,4095,58,91.56,31,ep? s900
1788459893,02:24:53,65.0,55.0,59.0,74,4095,58,91.68,31,ep? s900
1788459898,02:24:58,65.0,55.0,57.0,74,4095,58,91.61,33,ep? s900
1788459903,02:25:03,65.0,58.0,61.0,74,4095,58,91.49,30,ep? s900
1788459908,02:25:08,65.0,58.0,57.0,74,4095,58,91.57,29,ep? s900
1788459913,02:25:13,65.0,57.0,56.0,74,4095,58,91.90,32,ep? s900
1788459918,02:25:18,65.0,59.0,63.0,74,4095,58,91.90,31,ep? s900
1788459923,02:25:23,68.0,55.0,54.0,74,4095,58,92.04,33,ep? s900
1788459928,02:25:28,64.0,61.0,57.0,74,4095,58,91.80,33,ep? s950
1788459933,02:25:33,69.0,56.0,57.0,74,4095,58,92.15,32,ep? s950
1788459938,02:25:38,63.0,62.0,57.0,74,4095,58,91.50,28,ep? s950
1788459943,02:25:43,68.0,55.0,59.0,74,4095,58,91.64,31,ep? s950
1788459949,02:25:49,64.0,58.0,59.0,74,4095,58,92.11,31,ep? s950
1788459954,02:25:54,67.0,58.0,58.0,74,4095,58,90.68,27,ep? s950
1788459959,02:25:59,66.0,59.0,65.0,74,4095,58,92.24,34,ep? s950
1788459964,02:26:04,65.0,58.0,57.0,74,4095,58,93.34,29,ep? s950
1788459969,02:26:09,64.0,56.0,58.0,74,4095,58,88.57,24,ep? s950
1788459974,02:26:14,67.0,58.0,58.0,74,4095,58,93.15,25,ep? s950
1788459979,02:26:19,64.0,55.0,59.0,74,4095,58,92.31,31,ep? s1000
1788459984,02:26:24,63.0,55.0,55.0,74,4095,58,88.85,25,ep? s1000
1788459989,02:26:29,66.0,62.0,58.0,74,4095,58,91.94,27,ep? s1000
1788459994,02:26:34,64.0,58.0,58.0,74,4095,58,91.81,31,ep? s1000
1788459999,02:26:39,66.0,56.0,59.0,74,4095,58,91.81,29,ep? s1000
1788460004,02:26:44,66.0,55.0,59.0,74,4095,58,92.03,27,ep? s1000
1788460009,02:26:49,64.0,62.0,58.0,74,4095,58,91.10,31,ep? s1000
1788460014,02:26:54,66.0,56.0,59.0,74,4095,58,92.43,29,ep? s1000
1788460019,02:26:59,63.0,56.0,63.0,74,4095,58,91.72,26,ep? s1000
1788460024,02:27:04,66.0,57.0,58.0,74,4095,58,91.52,31,ep? s1000
1788460030,02:27:10,80.0,55.0,56.0,74,4095,58,91.71,30,ep? s1050
1788460035,02:27:15,63.0,54.0,54.0,74,4095,58,92.16,27,ep? s1050
1788460040,02:27:20,66.0,56.0,58.0,74,4095,58,91.95,30,ep? s1050
1788460045,02:27:25,63.0,53.0,56.0,74,4095,58,93.52,28,ep? s1050
1788460050,02:27:30,63.0,55.0,58.0,74,4095,58,93.43,25,ep? s1050
1788460055,02:27:35,64.0,55.0,57.0,74,4095,58,93.08,25,ep? s1050
1788460060,02:27:40,62.0,54.0,58.0,74,4095,58,92.11,25,ep? s1050
1788460065,02:27:45,63.0,55.0,57.0,74,4095,58,90.95,25,ep? s1050
1788460071,02:27:51,64.0,58.0,56.0,74,4095,59,90.34,30,ep? s1050
1788460076,02:27:56,63.0,56.0,58.0,74,4095,59,91.45,30,ep? s1050
1788460081,02:28:01,63.0,56.0,56.0,74,4095,58,91.34,30,ep? s1100
1788460086,02:28:06,64.0,58.0,58.0,74,4095,59,91.67,30,ep? s1100
1788460091,02:28:11,63.0,58.0,57.0,74,4095,58,89.57,30,ep? s1100
1788460096,02:28:16,63.0,56.0,59.0,74,4095,58,91.19,31,ep? s1100
1788460101,02:28:21,60.0,56.0,59.0,74,4095,58,90.40,30,ep? s1100
1788460106,02:28:26,66.0,55.0,59.0,74,4095,58,91.45,30,ep? s1100
1788460111,02:28:31,64.0,56.0,57.0,74,4095,58,91.07,31,ep? s1100
1788460116,02:28:36,65.0,59.0,58.0,74,4095,58,91.39,31,ep? s1100
1788460121,02:28:41,67.0,55.0,56.0,74,4095,59,91.41,30,ep? s1100
1788460126,02:28:46,63.0,55.0,57.0,74,4095,58,91.11,30,ep? s1100
1788460131,02:28:51,67.0,55.0,56.0,74,4095,58,91.00,30,ep? s1150
1788460136,02:28:56,63.0,55.0,56.0,74,4095,58,91.44,30,ep? s1150
1788460141,02:29:01,67.0,55.0,57.0,74,4095,58,91.22,33,ep? s1150
1788460147,02:29:07,63.0,59.0,59.0,74,4095,58,91.53,30,ep? s1150
